name,artist,album,acousticness,danceability,energy,speechiness,valence
God's Plan,Drake,Scorpion,0.0332,0.754,0.449,0.109,0.357
SAD!,XXXTENTACION,?,0.258,0.74,0.613,0.145,0.473
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,0.117,0.587,0.535,0.0898,0.14
Psycho (feat. Ty Dolla $ign),Post Malone,beerbongs & bentleys,0.58,0.739,0.559,0.117,0.439
In My Feelings,Drake,Scorpion,0.0589,0.835,0.626,0.125,0.35
Better Now,Post Malone,beerbongs & bentleys,0.354,0.68,0.563,0.0454,0.374
I Like It,Cardi B,Invasion of Privacy,0.099,0.816,0.726,0.129,0.65
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),0.037,0.791,0.862,0.11,0.592
IDGAF,Dua Lipa,Dua Lipa (Deluxe),0.0403,0.836,0.544,0.0943,0.51
FRIENDS,Marshmello,FRIENDS,0.205,0.626,0.88,0.0504,0.534
Havana,Camila Cabello,Camila,0.184,0.765,0.523,0.03,0.394
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,0.349,0.511,0.566,0.2,0.218
Nice For What,Drake,Scorpion,0.0891,0.586,0.909,0.0705,0.757
Girls Like You (feat. Cardi B),Maroon 5,Red Pill Blues (Deluxe),0.568,0.851,0.541,0.0505,0.448
The Middle,Zedd,The Middle,0.171,0.753,0.657,0.0449,0.437
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,0.0605,0.698,0.633,0.0597,0.552
no tears left to cry,Ariana Grande,Sweetener,0.04,0.699,0.713,0.0594,0.354
X,Nicky Jam,X,0.0364,0.595,0.773,0.0549,0.711
Moonlight,XXXTENTACION,?,0.556,0.921,0.537,0.0804,0.711
Look Alive (feat. Drake),BlocBoy JB,Look Alive (feat. Drake),0.00104,0.922,0.581,0.27,0.595
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.194,0.653,0.809,0.0474,0.55
Te Boté - Remix,Nio Garcia,Te Boté (Remix),0.542,0.903,0.675,0.214,0.442
Mine,Bazzi,COSMIC,0.0161,0.71,0.789,0.0722,0.717
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),0.0169,0.596,0.854,0.463,0.152
New Rules,Dua Lipa,Dua Lipa (Complete Edition),0.00261,0.762,0.7,0.0694,0.608
Shape of You,Ed Sheeran,÷ (Deluxe),0.581,0.825,0.652,0.0802,0.931
Love Lies (with Normani),Khalid,Love Lies (with Normani),0.0956,0.708,0.648,0.0449,0.338
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,Expectations,0.0476,0.642,0.772,0.0848,0.589
Jocelyn Flores,XXXTENTACION,17,0.469,0.872,0.391,0.242,0.437
Perfect,Ed Sheeran,÷ (Deluxe),0.163,0.599,0.448,0.0232,0.168
Taste (feat. Offset),Tyga,Taste (feat. Offset),0.0236,0.884,0.559,0.12,0.342
Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato),0.0441,0.737,0.636,0.0437,0.565
I Fall Apart,Post Malone,Stoney (Deluxe),0.0689,0.556,0.538,0.0382,0.291
Nevermind,Dennis Lloyd,Nevermind,0.156,0.592,0.691,0.196,0.0796
